Member No,Full Name,Phone,National ID,Group,Status
M001,Member 001,+260 97 000001,,Group 1,Active
M002,Member 002,+260 97 000002,,Group 1,Active
M003,Member 003,+260 97 000003,,Group 1,Active
M004,Member 004,+260 97 000004,,Group 1,Active
M005,Member 005,+260 97 000005,,Group 1,Active
M006,Member 006,+260 97 000006,,Group 1,Active
M007,Member 007,+260 97 000007,,Group 1,Active
M008,Member 008,+260 97 000008,,Group 1,Active
M009,Member 009,+260 97 000009,,Group 1,Active
M010,Member 010,+260 97 000010,,Group 1,Active
M011,Member 011,+260 97 000011,,Group 1,Active
M012,Member 012,+260 97 000012,,Group 1,Active
M013,Member 013,+260 97 000013,,Group 1,Active
M014,Member 014,+260 97 000014,,Group 1,Active
M015,Member 015,+260 97 000015,,Group 1,Active
M016,Member 016,+260 97 000016,,Group 1,Active
M017,Member 017,+260 97 000017,,Group 1,Active
M018,Member 018,+260 97 000018,,Group 1,Active
M019,Member 019,+260 97 000019,,Group 1,Active
M020,Member 020,+260 97 000020,,Group 1,Active
M021,Member 021,+260 97 000021,,Group 1,Active
M022,Member 022,+260 97 000022,,Group 1,Active
M023,Member 023,+260 97 000023,,Group 1,Active
M024,Member 024,+260 97 000024,,Group 1,Active
M025,Member 025,+260 97 000025,,Group 1,Active
M026,Member 026,+260 97 000026,,Group 2,Active
M027,Member 027,+260 97 000027,,Group 2,Active
M028,Member 028,+260 97 000028,,Group 2,Active
M029,Member 029,+260 97 000029,,Group 2,Active
M030,Member 030,+260 97 000030,,Group 2,Active
M031,Member 031,+260 97 000031,,Group 2,Active
M032,Member 032,+260 97 000032,,Group 2,Active
M033,Member 033,+260 97 000033,,Group 2,Active
M034,Member 034,+260 97 000034,,Group 2,Active
M035,Member 035,+260 97 000035,,Group 2,Active
M036,Member 036,+260 97 000036,,Group 2,Active
M037,Member 037,+260 97 000037,,Group 2,Active
M038,Member 038,+260 97 000038,,Group 2,Active
M039,Member 039,+260 97 000039,,Group 2,Active
M040,Member 040,+260 97 000040,,Group 2,Active
M041,Member 041,+260 97 000041,,Group 2,Active
M042,Member 042,+260 97 000042,,Group 2,Active
M043,Member 043,+260 97 000043,,Group 2,Active
M044,Member 044,+260 97 000044,,Group 2,Active
M045,Member 045,+260 97 000045,,Group 2,Active
M046,Member 046,+260 97 000046,,Group 2,Active
M047,Member 047,+260 97 000047,,Group 2,Active
M048,Member 048,+260 97 000048,,Group 2,Active
M049,Member 049,+260 97 000049,,Group 2,Active
M050,Member 050,+260 97 000050,,Group 2,Active
M051,Member 051,+260 97 000051,,Group 3,Active
M052,Member 052,+260 97 000052,,Group 3,Active
M053,Member 053,+260 97 000053,,Group 3,Active
M054,Member 054,+260 97 000054,,Group 3,Active
M055,Member 055,+260 97 000055,,Group 3,Active
M056,Member 056,+260 97 000056,,Group 3,Active
M057,Member 057,+260 97 000057,,Group 3,Active
M058,Member 058,+260 97 000058,,Group 3,Active
M059,Member 059,+260 97 000059,,Group 3,Active
M060,Member 060,+260 97 000060,,Group 3,Active
M061,Member 061,+260 97 000061,,Group 3,Active
M062,Member 062,+260 97 000062,,Group 3,Active
M063,Member 063,+260 97 000063,,Group 3,Active
M064,Member 064,+260 97 000064,,Group 3,Active
M065,Member 065,+260 97 000065,,Group 3,Active
M066,Member 066,+260 97 000066,,Group 3,Active
M067,Member 067,+260 97 000067,,Group 3,Active
M068,Member 068,+260 97 000068,,Group 3,Active
M069,Member 069,+260 97 000069,,Group 3,Active
M070,Member 070,+260 97 000070,,Group 3,Active
M071,Member 071,+260 97 000071,,Group 3,Active
M072,Member 072,+260 97 000072,,Group 3,Active
M073,Member 073,+260 97 000073,,Group 3,Active
M074,Member 074,+260 97 000074,,Group 3,Active
M075,Member 075,+260 97 000075,,Group 3,Active
M076,Member 076,+260 97 000076,,Group 4,Active
M077,Member 077,+260 97 000077,,Group 4,Active
M078,Member 078,+260 97 000078,,Group 4,Active
M079,Member 079,+260 97 000079,,Group 4,Active
M080,Member 080,+260 97 000080,,Group 4,Active
M081,Member 081,+260 97 000081,,Group 4,Active
M082,Member 082,+260 97 000082,,Group 4,Active
M083,Member 083,+260 97 000083,,Group 4,Active
M084,Member 084,+260 97 000084,,Group 4,Active
M085,Member 085,+260 97 000085,,Group 4,Active
M086,Member 086,+260 97 000086,,Group 4,Active
M087,Member 087,+260 97 000087,,Group 4,Active
M088,Member 088,+260 97 000088,,Group 4,Active
M089,Member 089,+260 97 000089,,Group 4,Active
